Tipo;Ano;Autores;T«tulo
P«Ôster;2010;SERAFINI PP ET AL;[**BANDING AND MONITORING PROGRAMS OF MAGELLANIC PENGUINS ON THE BRAZILIAN COAST IN 2008. 25TH INTERNATIONAL ORNITHOLOGICAL CONGRESS. CAMPOS DO JORD«üO, BRASIL**](https://www.icmbio.gov.br/cemave/images/stories/Publica%C3%A7%C3%B5es_cient%C3%ADficas/Serafini_etal_2010.jpg)
Resumo;2010;SOUZA EA ET AL;[**AVIFAUNA FROM BOQUEIR«üO DA ON«?A REGION, S«üO FRANCISCO RIVER BASIN, BAHIA, BRAZIL. 25TH INTERNATIONAL ORNITHOLOGICAL CONGRESS. CAMPOS DO JORD«üO, BRASIL**](https://drive.google.com/file/d/1L04O9fQwk3Byxbaenk-iLOAZMmjtbTLy/view?usp=drive_link)
Tese;2010;SERRANO IL;[**DISTRIBUI«?«üO E CONSERVA«?«üO DE AVES MIGRAT«?RIAS NE«ÅRTICAS DA ORDEM CHARADRIIFORMES (FAM«çLIAS CHARADRIIDAE E SCOLOPACIDAE) NO BRASIL. TESE DE DOUTORADO, UFPA/MPEG. BEL«?M, BRASIL**](https://drive.google.com/file/d/1TOUMPd3Z_pZ-OILFpcnUnYRG5Bucoilt/view?usp=drive_link)
Tese;2010;NASCIMENTO JLX;[**MONITORAMENTO DE AVES MIGRAT«?RIAS DA ORDEM CHARADRIIFORMES NO PARQUE NACIONAL DA LAGOA DO PEIXE, RIO GRANDE DO SUL. TESE DE DOUTORADO, UFPE. RECIFE, BRASIL**](https://drive.google.com/file/d/1X3wA5cIyRJKOft02_TJNk4Hk4lYjB9V_/view?usp=drive_link)
Cap«tulo;2010;ANJOS L ET AL;[**T«?CNICAS DE LEVANTAMENTO QUANTITATIVO DE AVES EM AMBIENTE FLORESTAL: UMA AN«ÅLISE COMPARATIVA BASEADA EM DADOS EMP«çRICOS. ORNITOLOGIA E CONSERVA«?«üO: CI«?NCIA APLICADA, T«?CNICAS DE PESQUISA E LEVANTAMENTO. TECHNICAL BOOKS. RIO DE JANEIRO, BRASIL**](https://drive.google.com/file/d/1b2WrBjLK0fZg5gzCLdcA7F59hE8Gy2vO/view?usp=drive_link)
Resumo;2010;SERAFINI PP ET AL;[**REPORT OF BILATERAL OCULAR LESIONS ASSOCIATED WITH PROTEUS IN A GIANT PETREL (MACRONECTES HALLI) IN SOUTHERN BRAZIL. 59TH ANNUAL INTERNATIONAL CONFERENCE OF THE WILDLIFE DISEASE ASSOCIATION (WDA). IGUAZ«?, ARGENTINA**](https://drive.google.com/file/d/1pi7fcIFu7dpA6zzNjr-tVdNassjcr_R1/view?usp=drive_link)
Resumo;2010;SERAFINI PP ET AL;[**REPORT OF A SERRATIA MARCESCENS RECURRENT INFECTION IN THE ENDANGERED VINACEOUS-BREASTED PARROT (AMAZONA VINACEA) WITH POOR RESPONSE TO SURGERY AND ANTIBIOTIC THERAPY. 59TH ANNUAL INTERNATIONAL CONFERENCE OF THE WILDLIFE DISEASE ASSOCIATION (WDA). IGUAZ«?, ARGENTINA**](https://drive.google.com/file/d/1LZntU3h2jZOq0PhU8_QzdkFmj37l-AXW/view?usp=drive_link)
Cartilha;2010;GOMES ALM ET AL;[**PROJETO NACIONAL DE MONITORAMENTO DO PINGUIM-DE-MAGALH«üES SPHENISCUS MAGELLANICUS. ICMBIO/MMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1O4jF2EWSzWGDhZuaTr4SO8ffnNTYy49S/view?usp=drive_link)
Resumo;2010;KOLESNIKOVAS CKM ET AL;[**COLETA E AN«ÅLISE DE DADOS BIOM«?TRICOS DE PASSERIFORMES NO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES (CETAS) DE FLORIAN«?POLIS/SC. V SIMP«?SIO BRASILEIRO SOBRE ANIMAIS SILVESTRES E SELVAGENS. VI«?OSA, BRASIL**](https://drive.google.com/file/d/1J-S8XSD_NpeT544EmLXfpEfbLG3_PGL0/view?usp=drive_link)
Resumo;2010;SERAFINI PP ET AL;[**CRIA«?«üO DA REDE DE ENCALHES DE AVES MARINHAS DENTRO DA «ÅREA DE PROTE«?«üO AMBIENTAL DA BALEIA FRANCA NO SUL DO BRASIL. V SIMP«?SIO BRASILEIRO SOBRE ANIMAIS SILVESTRES E SELVAGENS. VI«?OSA, BRASIL**](https://drive.google.com/file/d/1bj1oHhhEMg3MUZEjnL5CFAigFs-BXUFD/view?usp=drive_link)
Resumo;2010;ARAUJO JLB & ROOS AL;[**ESTUDO DA DIETA DA AVIFAUNA DE TABULEIRO NA REBIO GUARIBAS, PARA«çBA, BRASIL. II SEMIN«ÅRIO DE PESQUISA E INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1aFHnSlPKw5NYAO7xN8mYhtpJ4D_GF_V6/view?usp=drive_link)
Resumo;2010;TEIXEIRA GD & ROOS AL;[**ESTUDO DA REPRODU«?«üO E MUDA DE PENAS DA AVIFAUNA DE TABULEIRO NA REBIO GUARIBAS. II SEMIN«ÅRIO DE PESQUISA E INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1H10DXS44Y_OReUjEiX_ktAW6v_O7dKVi/view?usp=drive_link)
P«Ôster;2010;TEIXEIRA GD & ROOS AL;[**ESTUDO DA REPRODU«?«üO E MUDA DE PENAS DA AVIFAUNA DE TABULEIRO NA REBIO GUARIBAS. II SEMIN«ÅRIO DE PESQUISA E INICIA«?«üO CIENT«çFICA DO INSTITUTO CHICO MENDES DE CONSERVA«?«üO DA BIODIVERSIDADE. BRAS«çLIA, BRASIL**](https://www.icmbio.gov.br/cemave/images/stories/Publica%C3%A7%C3%B5es_cient%C3%ADficas/Pibic_2011_Dryander.jpg)
Resumo;2010;PALUDO D ET AL;[**POPULATION EXPANSION OF THE ENDANGERED SCARLET IBIS (EUDOCIMUS RUBER) IN THE SOUTHEAST OF BRAZIL. 25TH INTERNATIONAL ORNITHOLOGICAL CONGRESS. CAMPOS DO JORD«üO, BRASIL**](https://drive.google.com/file/d/16tqpg63kKuAavr1Fvnxfl3gdwXArxfY2/view?usp=drive_link)
Cap«tulo;2010;ROOS AL;[**CAPTURANDO AVES. IN: ORNITOLOGIA E CONSERVA«?«üO: CI«?NCIA APLICADA, T«?CNICAS DE PESQUISA E LEVANTAMENTO. EDITORA TECHNICAL BOOKS. RIO DE JANEIRO, BRASIL**](https://drive.google.com/file/d/1_qHBWcOFmigf_OXZpbduDIVJv6anQKIY/view?usp=drive_link)
Resumo;2010; AMORIM M.S. ET AL; BANCO DE DADOS SOBRE AVES AMEA«?ADAS DA FLORESTA ATL«?NTICA NORDESTINA. XXVIII CONGRESSO BRASILEIRO DE ZOOLOGIA. BEL«?M, BRASIL
Artigo;2009;BARBOSA-FILHO RC ET AL;[**A GAR«?A VAQUEIRA (BULBUCUS IBIS LINNAEUS, 1758) E O ATOB«Å-DE-P«?-VERMELHO (SULA SULA LINNAEUS, 1766) NO ARQUIP«?LAGO DE FERNANDO DE NORONHA: UMA ABORDAGEM ECOL«?GICA COMPARATIVA. ORNITHOLOGIA 3(2):101-114**](https://drive.google.com/file/d/1rqCgaqQzlYxisvXmz-LjDv98TctNzkgg/view?usp=drive_link)
Artigo;2009;FAVARO FL & FLORES JM;[**AVES DA ESTA«?«üO ECOL«?GICA TERRA DO MEIO, PAR«Å, BRASIL: RESULTADOS PRELIMINARES. ORNITHOLOGIA 3(2):115-131**](https://drive.google.com/file/d/1MmWVGCAJh5zfrERK7yF6lxRFm87Efv2d/view?usp=drive_link)
Artigo;2009;PAGANO ISA ET AL;[**AVES DEPOSITADAS NO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES NA PARA«çBA: UMA AMOSTRA DO TR«ÅFICO DE AVES SILVESTRES NO ESTADO. ORNITHOLOGIA 3(2):132-144**](https://drive.google.com/file/d/12RbJ5VP3051e9lVMD0zY8LwLtttrBqG1/view?usp=drive_link)
Nota;2009;SOUZA EA ET AL;[**AMPLIA«?«üO DA «ÅREA DE OCORR«?NCIA DO BEIJA-FLOR-DE-GRAVATINHA-VERMELHA AUGASTES LUMACHELLA (LESSON, 1838) (TROCHILIDAE). ORNITHOLOGIA 3(2):145-148**](https://drive.google.com/file/d/1J8SKKdcmDNmDq3skTK146izcrAbjog6d/view?usp=drive_link)
Artigo;2009;VOLPATO GH ET AL;[**THE USE OF THE POINT COUNT METHOD FOR BIRD SURVEY IN THE ATLANTIC FOREST. REVISTA BRASILEIRA DE ZOOLOGIA 26:74-78**](https://drive.google.com/file/d/1lzIdpCDxJFIwe1rVV7tHkUnaDCeow7ni/view?usp=drive_link)
Nota;2009;MESTRE LAM ET AL;[**DADOS BIOL«?GICOS DE PUFFINUS LHERMINIERI ANILHADOS EM FERNANDO DE NORONHA EM 2005 E 2006. REVISTA BRASILEIRA DE ORNITOLOGIA 17(1):65-69**](https://drive.google.com/file/d/1gvxwnGvuz-fQerqJ2Gez0EO2RLy5yLsL/view?usp=drive_link)
Artigo;2009;GILLINGS S ET AL;[**STAGING BEHAVIOR IN RED KNOT (CALIDRIS CANUTUS) IN DELAWARE BAY: IMPLICATIONS FOR MONITORING MASS AND POPULATION SIZE. THE AUK 126(1):54-63**](https://drive.google.com/file/d/1aKDpWWMvNoUqzgdemxclICpBhLXseOma/view?usp=drive_link)
Resumo;2009;ALTEFF E ET AL;[**AVIFAUNA DA ESTA«?«üO ECOL«?GICA SERRA DAS ARARAS, PORTO ESTRELA/C«ÅCERES - MT: REGISTROS OBTIDOS DURANTE O CURSO REGIONAL DE ANILHAMENTO DE AVES UFMT/CEMAVE, 2008. XVII CONGRESSO BRASILEIRO DE ORNITOLOGIA. ARACRUZ, BRASIL**](https://drive.google.com/file/d/1bPwOClvlpj-PLpr7sSTkyfJ23oq3lGh8/view?usp=drive_link)
Resumo;2009;SOUZA EA;[**TABELA DE VIDA DE ZENAIDA AURICULATA (DES MURS, 1847) (AVES, COLUMBIDAE): INFORMA«?«üO IMPORTANTE «? CONSERVA«?«üO E O MANEJO. XVII CONGRESSO BRASILEIRO DE ORNITOLOGIA. ARACRUZ, BRASIL**](https://drive.google.com/file/d/1s_dTiO2OHSPMxPn2m0BLdnVT2xXrde5R/view?usp=drive_link)
Resumo;2009;SOUSA AEBA ET AL;[**NOVOS REGISTROS DE AVES PARA O PARQUE NACIONAL DO CATIMBAU, PERNAMBUCO, BRASIL. XVII CONGRESSO BRASILEIRO DE ORNITOLOGIA. ARACRUZ, BRASIL**](https://drive.google.com/file/d/1-zfROMP4YTYMd1TnI_aDGmhZn4eUa8-P/view?usp=drive_link)
Resumo;2009;ROOS AL ET AL;[**AN«ÅLISE DAS RECUPERA«?«?ES DE AVES ANILHADAS NO EXTERIOR ENTRE 1928 E 2006. XVII CONGRESSO BRASILEIRO DE ORNITOLOGIA. ARACRUZ, BRASIL**](https://drive.google.com/file/d/190CbTqdQxw9-a-4YOenIUfDY53y5Cjpm/view?usp=drive_link)
Artigo;2009;MESTRE LAM & BIERREGAARD JR RO;[**THE ROLE OF AMAZONIAN RIVERS FOR WINTERING OSPREYS (PANDION HALIAETUS): CLUES FROM NORTH AMERICAN BAND RECOVERIES IN BRAZIL BETWEEN 1937 AND 2006. STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT 44(3):141É??147**](https://drive.google.com/file/d/16kr9T2vn9Rz9YmmbM7lf3ZZsAvy23i-o/view?usp=drive_link)
Resumo;2009;AMORIM MS & ROOS AL;[**BANCO DE DADOS SOBRE AVES BRASILEIRAS AMEA«?ADAS DE EXTIN«?«üO: ESTIMATIVA DO TAMANHO POPULACIONAL. I SEMIN«ÅRIO DE PESQUISA E INICIA«?«üO CIENT«çFICA DO ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1iRHmJFWgHtngN6JW5dLA2Cf4CNjX_Rzt/view?usp=drive_link)
Resumo;2009;SANTOS DS & ROOS AL;[**BANCO DE DADOS SOBRE AVES BRASILEIRAS AMEA«?ADAS DE EXTIN«?«üO: ATUALIZA«?«üO DOS MAPAS DE DISTRIBUI«?«üO E AVALIA«?«üO DA IMPORTANCIA DAS UNIDADES DE CONSERVA«?«üO. I SEMIN«ÅRIO DE PESQUISA E INICIA«?«üO CIENT«çFICA DO ICMBIO. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1o07iHToYTYROE7QQVPGjDHHk-E4cpe6A/view?usp=drive_link)
Resumo;2009;KOLESNIKOVAS CKM ET AL;[**RECUPERA«?«üO DE PINGUINS DE MAGALH«üES CONTAMINADOS POR «?LEO EM FLORIAN«?POLIS/SC, BRASIL. XII CONGRESSO E XVIII ENCONTRO DA ASSOCIA«?«üO BRASILEIRA DE VETERIN«ÅRIOS DE ANIMAIS SELVAGENS (ABRAVAS). «ÅGUAS DE LIND«?IA, BRASIL**](https://drive.google.com/file/d/1ySxRJJqm3h0Js6HgeFEbwZ4vlUL8oRDa/view?usp=drive_link)
Resumo expandido;2009;SANTOS DS ET AL;[**REPRESENTATIVIDADE DE ESP«?CIES DE AVES AMEA«?ADAS NO TR«ÅFICO ILEGAL NA PARA«çBA A PARTIR DE DADOS DO CETAS/IBAMA/PB. IX CONGRESSO DE ECOLOGIA DO BRASIL. S«üO LOUREN«?O, BRASIL**](https://drive.google.com/file/d/1ShYn9S9Fv5fIwguyQJvdsvJT8uUd2GSO/view?usp=drive_link)
Livro;2009;PAZ RJ ET AL;UNIDADES DE CONSERVA«?«üO NO BRASIL - HIST«?RIA E LEGISLA«?«üO. EDITORA UNIVERSIT«ÅRIA UFPB. JO«üO PESSOA, BRASIL
Livro;2009;SOUZA EA & SILVA LFG;CONTRIBUI«?«üO AO PROJETO DE MANEJO INTEGRADO DA BACIA DO RIO GRAMAME PB. A BACIA DO RIO GRAMAME: BIODIVERSIDADE, USO E CONSERVA«?«üO. EDUEPB. CAMPINA GRANDE, BRASIL
Nota;2008;SOUSA AEBA & BARBOSA AEA;[**REGISTRO DE OCORR«?NCIA DA ARARA-AZUL-DE-LEAR ANODORHYNCHUS LEARI (BONAPARTE 1856) NO MUNIC«çPIO DE MONTE SANTO, BAHIA. ORNITHOLOGIA 3(1):64-66**](https://drive.google.com/file/d/1mp8dGU4cckCbF-y4RduRdcwSp3AnQUPB/view?usp=drive_link)
Artigo;2008;SANTOS-NETO JR & CAMANDAROBA M;[**MAPEAMENTO DOS S«çTIOS DE ALIMENTA«?«üO DA ARARA-AZUL-DE-LEAR ANODORHYNCHUS LEARI (BONAPARTE, 1856). ORNITHOLOGIA 3(1):1-17**](https://drive.google.com/file/d/1o9DefLy4q_kI1NTlBjG_ANagssupOrwa/view?usp=drive_link)
Artigo;2008;SCHULZ-NETO A ET AL;[**MUDA E PAR«?METROS BIOM«?TRICOS DE AVES MIGRAT«?RIAS NO NORTE DO BRASIL. ORNITHOLOGIA 3(1):21-33**](https://drive.google.com/file/d/1VVkT3UcD_IIlogvUUdQiwAFHC8jjiK9E/view?usp=drive_link)
P«Ôster;2008;BARBOSA-FILHO RC ET AL;[**33 ANOS DE ANILHAMENTO NO BRASIL. XVI CONGRESSO BRASILIEIRO DE ORNITOLOGIA. PALMAS, BRASIL**](https://drive.google.com/file/d/1kf0WvaI04D-9J9kFmAuGZvqDU4uoVNC5/view?usp=drive_link)
Disserta«ı«úo;2008;OLIVEIRA AC;[**OCUPA«?«üO AMBIENTAL E CARACTER«çSTICAS POPULACIONAIS DE CURICACAS THERISTICUS CAUDATUS EM LINHAS DE TRANSMISS«üO DE ALTA TENS«üO. DISSERTA«?«üO DE MESTRADO, UNB. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1OODeDWJPym5LwaOkQnAuIuiZjHj-dctx/view?usp=drive_link)
Guia;2008;SOUZA EA ET AL;[**AS AVES DO PARQUE NACIONAL DO CABO ORANGE: GUIA DE CAMPO. CEMAVE/ICMBIO. JO«üO PESSOA, PB**](https://drive.google.com/file/d/1cGUJ8Epp5M6MBE6a3-PykBIX4LDr8Mlv/view?usp=drive_link)
Nota;2008;BARBOSA-FILHO RC & SOUZA AEB;[**MONITORAMENTO DA GAR«?A-VAQUEIRA (BULBUCUS IBIS) NO PARQUE NACIONAL MARINHO E NA «ÅREA DE PROTE«?«üO AMBIENTAL DE FERNANDO DE NORONHA. BOLETIM ELETR«?NICO DO CEMAVE 2(2):2**](https://drive.google.com/file/d/1PSw4mV_x3jXvBSx2Z7y-8AJbL24knwmu/view?usp=drive_link)
Resumo;2008;LACERDA RCA & RODRIGUES RC;[**PROPOSTA PARA MARCA«?«üO DE CHARADRIIFORMES MIGRAT«?RIOS NO BRASIL COM O USO DE BANDEIROLAS COLORIDAS CODIFICADAS. XVI CONGRESSO BRASILEIRO DE ORNITOLOGIA. PALMAS, BRASIL**](https://drive.google.com/file/d/1vq8Q652lpVar_iOlvKI0aS4uAJcr1rz6/view?usp=drive_link)
Nota;2008;ROOS AL;[**PINGUINS-DE-MAGALH«üES (SPHENISCUS MAGELLANICUS) NO NORDESTE: MIGRANTES OU ERRANTES. BOLETIM ELETR«?NICO DO CEMAVE 2(2):1**](https://drive.google.com/file/d/10nLaeGyUyDeeRLmpt2kZQawcJc-YUlNl/view?usp=drive_link)
Livro;2008;MORRISON RIG ET AL;[**BIRDS IN THE PANTANAL: DISTRIBUTION OF NEARTIC SHOREBIRDS AND OTHER WATER SPECIES IN THE PANTANAL. WWF-BRASIL. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/15v3R3g0NMh2gXJCmynB1KbW3H86xnr-3/view?usp=drive_link)
Livro;2008;MORRISON RIG ET AL;[**AVES MIGRAT«?RIAS NO PANTANAL: DISTRIBUI«?«üO DE AVES LIM«çCOLAS NE«ÅRTICAS E OUTRAS ESP«?CIES AQU«ÅTICAS NO PANTANAL. WWF-BRASIL. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1o52eqiana2IK4AHCOZfCbIqJB3CwvGb2/view?usp=drive_link)
Monografia;2008;PAGANO ISA;[**AVES DEPOSITADAS NO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES DO IBAMA NA PARA«çBA: UMA AMOSTRA DO TR«ÅFICO DE AVES SILVESTRES NO ESTADO. MONOGRAFIA DE GRADUA«?«üO, UFPB. JO«üO PESSOA, BRASIL**](https://drive.google.com/file/d/1-ui8D4k1IT-o1tAQQHmQ3cBHrgGr-J--/view?usp=drive_link)
Artigo;2007;MESTRE LAM;[**RECUPERA«?«?ES NO BRASIL DE FALC«?ES-PEREGRINOS (FALCO PEREGRINUS) ANILHADOS NA AM«?RICA DO NORTE ENTRE 1967 E 2001. ORNITHOLOGIA 2(2):72-80**](https://drive.google.com/file/d/1grhnhERxxmi-RP-uTyM4hBwNdM_fQkSw/view?usp=drive_link)
Artigo;2007;MESTRE LAM;[**REGISTROS DAS MIGRA«?«?ES DE TRINTA-R«?IS-BOREAL STERNA HIRUNDO: AN«ÅLISE DAS RECUPERA«?«?ES DE INDIV«çDUOS MARCADOS NA AM«?RICA DO NORTE (1928 É?? 2005) E BRASIL (1983 É?? 2005). ORNITHOLOGIA 2(2):81-87**](https://drive.google.com/file/d/1SN-wZdTEHS_hD2KNQpiU4cYF7tWQ0v0M/view?usp=drive_link)
Artigo;2007;BARBOSA FILHO RC ET AL;[**INFORMATIVO DO SISTEMA NACIONAL DE ANILHAMENTO (1973-1985). ORNITHOLOGIA 2(2):88-118**](https://drive.google.com/file/d/1i_KtUhbVfjekyVrr0baoQTuoz2HGoj6S/view?usp=drive_link)
Artigo;2007;EFE MA ET AL;[**AVIFAUNA DA ESTA«?«üO ECOL«?GICA DE CARIJ«?S, FLORIAN«?POLIS - SC. ORNITHOLOGIA 2(1):1-13**](https://drive.google.com/file/d/15_foLMO3C3vsZqa2LmwwqhlB5hcq8vLh/view?usp=drive_link)
Artigo;2007;BARBOSA FILHO RC ET AL;[**INFORMATIVO DO SISTEMA NACIONAL DE ANILHAMENTO (1986-1995). ORNITHOLOGIA 2(2):119-169**](https://drive.google.com/file/d/1bolUibT61zGMNKIRq4Yik0RqwmrerlQI/view?usp=drive_link)
Artigo;2007;EFE MA ET AL;[**AVIFAUNA DA «ÅREA DE PROTE«?«üO AMBIENTAL DO IBIRAPUIT«ü, RIO GRANDE DO SUL, BRASIL. ORNITHOLOGIA 2(1):14-24**](https://drive.google.com/file/d/1sjcfbIFoLdIyH6s5xZtQPH9J7ZHeu_u_/view?usp=drive_link)
Artigo;2007;CARDOSO TAL & NASCIMENTO JLX;[**AVALIA«?«üO DE ATIVIDADES TUR«çSTICAS PREJUDICIAIS «? PERMAN«?NCIA DE AVES MIGRAT«?RIAS NA COROA DO AVI«üO, PERNAMBUCO, BRASIL. ORNITHOLOGIA 2(2):170-177**](https://drive.google.com/file/d/1tmckRohPq-ww9yuiMNvdiZfEJx07tFcE/view?usp=drive_link)
Artigo;2007;SOUZA EA ET AL;[**ESTIMATIVAS POPULACIONAIS DE AVOANTES ZENAIDA AURICULATA (AVES COLUMBIDAE, DES MURS, 1874) EM COL«?NIAS REPRODUTIVAS NO NORDESTE DO BRASIL. ORNITHOLOGIA 2(1):28-33**](https://drive.google.com/file/d/1nJX8Qu0a1uGc4Fi2zJV7WjLhogwltIT_/view?usp=drive_link)
Nota;2007;SANTOS-NETO JR & CAMANDAROBA M;[**AMPLIA«?«üO DA «ÅREA DE OCORR«?NCIA DA ARARA-AZUL-DE-LEAR ANODORHYNCHUS LEARI (BONAPARTE 1856). ORNITHOLOGIA 2(1):63-64**](https://drive.google.com/file/d/1CqZr2nq1WZWAhpbNijaWuHlHyndU3P1S/view?usp=drive_link)
Resumo;2007;BARBOSA-FILHO RC & VOOREN CM;[**CENSOS DE AVES OCE«?NICAS NO NORDESTE DO BRASIL. XV CONGRESSO BRASILEIRO DE ORNITOLOGIA. PORTO ALEGRE, BRASIL**](https://drive.google.com/file/d/1ZAq_3Fvah7Dv-UVT7srSGtED5ldnQdrD/view?usp=drive_link)
Resumo;2007;PAGANO ISA ET AL;[**AVES DEPOSITADAS NO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES DO IBAMA NA PARA«çBA: UMA AMOSTRA DO TR«ÅFICO DE AVES SILVESTRES NO ESTADO. XV CONGRESSO BRASILEIRO DE ORNITOLOGIA. PORTO ALEGRE, BRASIL**](https://drive.google.com/file/d/1is4GEET9OKDAcg0zFoLZvh_UfD4ASDT8/view?usp=drive_link)
Resumo;2007;SILVA-NETO GF ET AL;[**COMPORTAMENTO ALIMENTAR DE ARARAS-AZUIS-DE-LEAR ANODORHYNCHUS LEARI, EM CATIVEIRO E EM VIDA LIVRE. XV CONGRESSO BRASILEIRO DE ORNITOLOGIA. PORTO ALEGRE, BRASIL**](https://drive.google.com/file/d/1bDQAquZQalQv6kEtIVWqiY2ZjOwxDtFY/view?usp=drive_link)
Livro;2007;NILES LJ ET AL;[**STATUS OF THE RED KNOT (CALIDRIS CANUTUS RUFA) IN THE WESTERN HEMISPHERE. U.S. FISH AND WILDLIFE SERVICE. PLEASANTVILLE, USA**](https://drive.google.com/file/d/1dYHShsyc6ZyxD1haNVfxfQvbkE3_SAFG/view?usp=drive_link)
Artigo;2007;NUNES MFC & GALETTI M;[**USE OF FOREST FRAGMENTS BY BLUE-WINGED MACAWS (PRIMOLIUS MARACANA) WITHIN A FRAGMENTED LANDSCAPE. BIODIVERSITY AND CONSERVATION 16:953-967**](https://drive.google.com/file/d/1jAI4FFbkJxnNov7Or7-n616qOfDbUh-H/view?usp=drive_link)
Artigo;2007;NUNES MFC ET AL;[**ARE LARGE-SCALE DISTRIBUTIONAL SHIFTS OF THE BLUE-WINGED MACAW (PRIMOLIUS MARACANA) RELATED TO CLIMATE CHANGE? JOURNAL OF BIOGEOGRAPHY 34:816-827**](https://drive.google.com/file/d/1rhQM6pbyQyxx5SrQU8kffU0OrrGguP6N/view?usp=drive_link)
Resumo;2007;COSTA ES & ROOS AL;[**AN«ÅLISE DO IMPACTO DA CA«?A DA AVIFAUNA DO ESTADO DA PARA«çBA. IV SEMIN«ÅRIO DE INICIA«?«üO CIENT«çFICA DO IBAMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1LEzMwW-9kPaWAu6gdLNOqlAMPHg4xOos/view?usp=drive_link)
Resumo;2007;ALVES FAA & NASCIMENTO JLX;[**MONITORAMENTO DE AVES MIGRAT«?RIAS NA ILHA DA COROA DO AVI«üO/PE. IV SEMIN«ÅRIO DE INICIA«?«üO CIENT«çFICA DO IBAMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1Tj-BxGZ7n-5D3BOVMn2nZS20Q7NCLjYv/view?usp=drive_link)
Resumo;2007;SILVA-NETO GF ET AL;[**COMPORTAMENTO ALIMENTAR DE ARARAS-AZUIS-DE-LEAR, ANODORHYNCHUS LEARI (BONPARTE, 1856) PSITTACIDAE EM CATIVEIRO E EM VIDA LIVRE. IV SEMIN«ÅRIO DE INICIA«?«üO CIENT«çFICA DO IBAMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1RP4Ly21rVrKIbOdw52vsbTVgICb5DSvL/view?usp=drive_link)
Resumo;2007;PAGANO ISA ET AL;[**AVES DEPOSITADAS NO CENTRO DE TRIAGEM DE ANIMAIS SILVESTRES DO IBAMA NO ESTADO DA PARA«çBA, BRASIL. IV SEMIN«ÅRIO DE INICIA«?«üO CIENT«çFICA DO IBAMA. BRAS«çLIA, BRASIL**](https://drive.google.com/file/d/1lKplymKmMmhI8cTi3VC343fhMTl3mcca/view?usp=drive_link)
Artigo;2007;SANTOS-NETO JR & GOMES DM;[**PREDA«?«üO DE MILHO POR ARARA-AZUL-DE-LEAR, ANODORHYNCHUS LEARI (BONAPARTE, 1856) (AVES: PSITTACIDAE) EM SUA «ÅREA DE OCORR«?NCIA NO SERT«üO DA BAHIA. ORNITHOLOGIA 2(1):41-46**](https://drive.google.com/file/d/13o-5QJ_n5cwsCP7yLyUIxyHttX5a3ph0/view?usp=drive_link)
Resumo expandido;2007;OLIVEIRA AC & MACEDO RH;[**BIOLOGIA REPRODUTIVA E MONITORAMENTO DE CURICACA (THERISTICUS CAUDATUS) EM LINHAS DE TRANSMISS«üO DE ENERGIA DA EXPANSION. IV CONGRESSO DE INOVA«?«üO TECNOL«?GICA EM ENERGIA EL«?TRICA É?? CITINEL. ARAX«Å, BRASIL**](https://drive.google.com/file/d/1SOCWSNvXbenc0ZMabgVKx1CZOKNV_GKn/view?usp=drive_link)
Artigo;2006;NASCIMENTO JLX ET AL;[**MONITORAMENTO DA MARRECA-PARDA, ANAS GEORGICA (GMELIN, 1781) (ANSERIFORMES, ANATIDAE) NO RIO GRANDE DO SUL. ORNITHOLOGIA 1(2):115-120**](https://drive.google.com/file/d/1FMoLq_BPBzF5Tdqe90UBRayz4Mmf2JZx/view?usp=drive_link)
Artigo;2006;EFE MA & FILIPPINI A;[**NIDIFICA«?«üO DO JOAO-DE-BARRO, FURNARIUS RUFUS (PASSERIFORMES, FURNARIIDAE) EM ESTRUTURAS DE DISTRIBUI«?«üO DE ENERGIA EL«?TRICA EM SANTA CATARINA. ORNITHOLOGIA 1(2):121-124**](https://drive.google.com/file/d/1T_kKgHmjW07jv2yg-rNkLx_go4Z9deAd/view?usp=drive_link)
